2013/05/14 16:47:33 - 50.112.82.55:    Connecting via SSH.
2013/05/14 16:47:33 - 50.112.24.14:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:34 - 50.112.24.14:    Completed check of node 50.112.24.14.
2013/05/14 16:47:34 - 54.245.142.180:  Checking EC2 instance i-a6348b93.
2013/05/14 16:47:34 - 54.245.137.14:   Checking file contents.
2013/05/14 16:47:34 - 54.214.58.102:   Checking file contents.
2013/05/14 16:47:34 - 50.112.83.31:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:34 - 50.112.83.31:    Completed check of node 50.112.83.31.
2013/05/14 16:47:34 - 54.244.147.114:  Checking EC2 instance i-a0348b95.
2013/05/14 16:47:34 - 54.245.142.180:  Checking EC2 instance is running.
2013/05/14 16:47:34 - 54.245.142.180:  Connecting via SSH.
2013/05/14 16:47:34 - 54.244.147.114:  Checking EC2 instance is running.
2013/05/14 16:47:34 - 54.244.147.114:  Connecting via SSH.
2013/05/14 16:47:34 - 54.214.58.102:   Remote file contents confirmed.
2013/05/14 16:47:34 - 54.245.137.14:   Remote file contents confirmed.
2013/05/14 16:47:34 - 54.214.61.38:    Checking file contents.
2013/05/14 16:47:35 - 54.214.61.38:    Remote file contents confirmed.
2013/05/14 16:47:35 - 54.245.137.14:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:35 - 54.245.137.14:   Completed check of node 54.245.137.14.
2013/05/14 16:47:35 - 50.112.25.248:   Checking EC2 instance i-a2348b97.
2013/05/14 16:47:35 - 54.214.58.102:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:35 - 54.214.58.102:   Completed check of node 54.214.58.102.
2013/05/14 16:47:35 - 54.244.133.57:   Checking EC2 instance i-ac348b99.
2013/05/14 16:47:35 - 50.112.25.248:   Checking EC2 instance is running.
2013/05/14 16:47:35 - 50.112.25.248:   Connecting via SSH.
2013/05/14 16:47:35 - 54.214.61.38:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:35 - 54.214.61.38:    Completed check of node 54.214.61.38.
2013/05/14 16:47:35 - 54.245.27.116:   Checking software installation completed.
2013/05/14 16:47:36 - 54.244.133.57:   Checking EC2 instance is running.
2013/05/14 16:47:36 - 54.244.133.57:   Connecting via SSH.
2013/05/14 16:47:36 - 54.245.27.116:   Software installation finished.
2013/05/14 16:47:36 - 54.245.27.116:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:37 - 54.244.180.221:  Checking software installation completed.
2013/05/14 16:47:37 - 54.244.180.221:  Software installation finished.
2013/05/14 16:47:37 - 54.244.180.221:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:37 - 54.245.27.116:   Checking file contents.
2013/05/14 16:47:37 - 54.245.27.116:   Remote file contents confirmed.
2013/05/14 16:47:38 - 54.244.180.221:  Checking file contents.
2013/05/14 16:47:38 - 54.244.180.221:  Remote file contents confirmed.
2013/05/14 16:47:38 - 54.245.27.116:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:38 - 54.245.27.116:   Completed check of node 54.245.27.116.
2013/05/14 16:47:38 - 54.214.58.148:   Checking software installation completed.
2013/05/14 16:47:39 - 54.214.58.148:   Software installation finished.
2013/05/14 16:47:39 - 54.214.58.148:   Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:39 - 54.244.180.221:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:39 - 54.244.180.221:  Completed check of node 54.244.180.221.
2013/05/14 16:47:39 - 54.214.116.125:  Checking software installation completed.
2013/05/14 16:47:39 - 54.244.147.74:   Checking software installation completed.
2013/05/14 16:47:39 - 54.245.71.51:    Checking software installation completed.
2013/05/14 16:47:39 - 54.214.64.196:   Checking software installation completed.
2013/05/14 16:47:39 - 50.112.36.176:   Checking software installation completed.
